ticker,company_name,fiscal_year,revenue_billions,cost_of_revenue_billions,gross_profit_billions,operating_income_billions,net_income_billions,interest_expense_millions,eps_basic_usd,eps_diluted_usd,total_assets_billions,current_assets_billions,total_liabilities_billions,current_liabilities_billions,stockholders_equity_billions,cash_and_equivalents_billions,short_term_investments_billions,accounts_receivable_billions,long_term_debt_billions,inventory_billions,roe,roa,gross_margin,net_margin,operating_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,equity_turnover
AAPL,Apple Inc.,2025,383.285,214.137,169.148,114.301,96.995,0.0,6.16,6.13,364.98,152.987,308.03,176.392,50.672,29.943,35.228,33.41,85.75,7.286,1.914174,0.265754,0.441311,0.253062,0.298214,0.867313,0.826007,6.0789,0.843964,NA,1.050153,7.564039
AAPL,Apple Inc.,2024,394.328,223.546,170.782,119.437,99.803,0.0,6.15,6.11,352.583,143.566,290.437,145.308,63.09,29.965,31.59,29.508,95.281,6.331,1.581915,0.283062,0.433096,0.253096,0.302887,0.988012,0.944442,4.603535,0.823741,NA,1.118398,6.250246
AAPL,Apple Inc.,2023,365.817,212.981,152.836,108.949,94.68,2645.0,5.67,5.61,352.755,135.405,302.083,153.982,65.339,23.646,24.658,28.184,98.959,4.946,1.449058,0.268402,0.417794,0.258818,0.297824,0.879356,0.847235,4.623318,0.856354,41.190548,1.037029,5.598754
AAPL,Apple Inc.,2022,274.515,169.559,104.956,66.288,57.411,2873.0,3.31,3.28,351.002,134.836,287.912,125.481,90.488,34.94,27.699,26.278,109.106,6.58,0.63446,0.163563,0.382332,0.209136,0.241473,1.074553,1.022115,3.18177,0.820257,23.072746,0.78209,3.033717
AAPL,Apple Inc.,2021,260.174,161.782,98.392,63.93,55.256,3576.0,2.99,2.97,323.888,143.713,258.549,105.392,107.147,38.016,52.927,16.12,98.667,4.061,0.515703,0.170602,0.378178,0.212381,0.24572,1.363604,1.325072,2.413031,0.798267,17.877517,0.803284,2.428197
AAPL,Apple Inc.,2020,265.595,163.756,101.839,70.898,59.531,3240.0,3.0,2.98,338.516,162.819,248.028,105.718,134.047,48.844,51.713,22.926,91.807,4.106,0.444105,0.175859,0.383437,0.224142,0.26694,1.540126,1.501286,1.850306,0.732692,21.882099,0.784586,1.981357
ABNB,"Airbnb, Inc.",2025,9.917,1.703,8.214,1.518,4.792,55.0,637000000.0,662000000.0,20.959,17.18,12.547,10.161,5.56,6.864,3.747,0.175,1.995,0.0,0.861871,0.228637,0.828275,0.483211,0.15307,1.690778,1.690778,2.256655,0.598645,27.6,0.473162,1.783633
ABNB,"Airbnb, Inc.",2024,8.399,1.499,6.9,1.802,1.893,8.0,637000000.0,680000000.0,20.645,16.509,12.48,9.95,4.775,6.874,3.197,0.249,1.991,0.0,0.39644,0.091693,0.821526,0.225384,0.214549,1.659196,1.659196,2.613613,0.604505,225.25,0.40683,1.758953
ABNB,"Airbnb, Inc.",2023,5.992,1.156,4.836,0.429,-0.352,-438.0,616000000.0,616000000.0,16.038,14.861,10.478,7.978,2.901,7.378,2.244,0.2,1.987,0.0,-0.121337,-0.021948,0.807076,-0.058745,0.071595,1.862748,1.862748,3.611858,0.653323,0.979452,0.373613,2.065495
ABNB,"Airbnb, Inc.",2022,3.378,0.876,2.502,-3.59,-4.585,-172.0,284000000.0,284000000.0,13.708,12.386,8.933,6.359,-0.808,6.067,2.255,0.143,1.983,0.0,5.674505,-0.334476,0.740675,-1.357312,-1.062759,1.947791,1.947791,-11.055693,0.651663,-20.872093,0.246425,-4.180693
