ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
AAPL,Apple Inc.,2025,383285000000,96995000000,169148000000,114301000000.0,214137000000,,6.16,6.13,364980000000,308030000000.0,50672000000,152987000000,176392000000,29943000000,35228000000.0,33410000000,85750000000.0,7286000000.0
AAPL,Apple Inc.,2024,394328000000,99803000000,170782000000,119437000000.0,223546000000,,6.15,6.11,352583000000,290437000000.0,63090000000,143566000000,145308000000,29965000000,31590000000.0,29508000000,95281000000.0,6331000000.0
AAPL,Apple Inc.,2023,365817000000,94680000000,152836000000,108949000000.0,212981000000,2645000000.0,5.67,5.61,352755000000,302083000000.0,65339000000,135405000000,153982000000,23646000000,24658000000.0,28184000000,98959000000.0,4946000000.0
AAPL,Apple Inc.,2022,274515000000,57411000000,104956000000,66288000000.0,169559000000,2873000000.0,3.31,3.28,351002000000,287912000000.0,90488000000,134836000000,125481000000,34940000000,27699000000.0,26278000000,109106000000.0,6580000000.0
AAPL,Apple Inc.,2021,260174000000,55256000000,98392000000,63930000000.0,161782000000,3576000000.0,2.99,2.97,323888000000,258549000000.0,107147000000,143713000000,105392000000,38016000000,52927000000.0,16120000000,98667000000.0,4061000000.0
AAPL,Apple Inc.,2020,265595000000,59531000000,101839000000,70898000000.0,163756000000,3240000000.0,3.0,2.98,338516000000,248028000000.0,134047000000,162819000000,105718000000,48844000000,51713000000.0,22926000000,91807000000.0,4106000000.0
ABNB,"Airbnb, Inc.",2025,9917000000,4792000000,8214000000,1518000000.0,1703000000,55000000.0,637000000.0,662000000.0,20959000000,12547000000.0,5560000000,17180000000,10161000000,6864000000,3747000000.0,175000000,1995000000.0,
ABNB,"Airbnb, Inc.",2024,8399000000,1893000000,6900000000,1802000000.0,1499000000,8000000.0,637000000.0,680000000.0,20645000000,12480000000.0,4775000000,16509000000,9950000000,6874000000,3197000000.0,249000000,1991000000.0,
ABNB,"Airbnb, Inc.",2023,5992000000,-352000000,4836000000,429000000.0,1156000000,-438000000.0,616000000.0,616000000.0,16038000000,10478000000.0,2901000000,14861000000,7978000000,7378000000,2244000000.0,200000000,1987000000.0,
ABNB,"Airbnb, Inc.",2022,3378000000,-4585000000,2502000000,-3590000000.0,876000000,-172000000.0,284000000.0,284000000.0,13708000000,8933000000.0,-808000000,12386000000,6359000000,6067000000,2255000000.0,143000000,1983000000.0,
